Tweet,Date
"The White House:

BREAKING 

Protestors have breached the reinforced gate and riot police have confronted them - other protestors began scaling the fence 

WATCH:",2024-01-14
"I have seen hundreds of hours of riot footage these past few years

The only time I’ve ever seen police throw concussion grenades into a peaceful crowd was J6

Ask yourself why",2024-05-12
"“Make them riot”

Lock racist convicted felon Trump up. He wanted a riot.",2024-10-02
"An anti G7, anti War protester is hand cuffed and held down after being arrested in a fight with Riot Police at a protest in downtown Hiroshima the host city of this years G7 Summit. #alpha1 #sonyalpha1 #bealpha #sonyphotographer #g7summit #hiroshima #g7summit #riot",2023-05-21
"If non-violent climate protest gets you 5 years in prison, what will an attempt to incite a full blown race riot get you? 

If it’s anything less than 5 years, there will be some serious questions of this countries justice system.",2024-07-30
Guess we’re doing this.,2024-10-17
"According to Jack Smith new filing, on Jan 6 when told about the possibility of violence, Trump said MAKE THEM RIOT. DO IT while he was throwing an insurrection watch party with his parasitic family. I say MAKE HIM PAY. LOCK HIM UP!",2024-10-02
not cleo confirmed riot and ice relationship in part 3???,2024-09-03
