Tweet,Date
"REPORTER: Do you or do you not condemn the attack on the Capitol from the last election incited by Donald Trump?

CROWD: *Booooo*

JD VANCE: Do I condemn the riot at the Capitol? Sure. I think people not being able to afford groceries in the US is a much bigger problem than what",2024-10-12
Im sad that the vod for First Attack doesnt capture the crowd that well because goddd I still remember the chants and cheers I was hearing when I was playing. Hearing people cheer my name in the crowd as I played was so surreal ,2024-10-15
"Its a Japanese developer, therefore anti-woke crowd won’t attack it.",2024-10-08
"Trump ordered a crowd he knew was armed to march on the Capitol & ""fight like hell."" 7 people died in & after the attack. 114 Capitol Police were injured.

He watched the violence on TV but did nothing to stop it for hours.

That day was just one part of his coup attempt. 1/14",2024-01-06
"#Jhansi : Peaceful Jamaat mob attacked Hindus for using Gulal during Ganpati Visarjan. About a dozen Hindu devotees seriously injured . 

The peaceful kaum was unhappy that Hindus were celebrating Ganesh Visarjan and were passing through their area.",2024-09-17
"Kaliforniya'da kalabalık bir grup tarafından saldırıya uğrayan bir kişi, olay esnasında silahını çıkarınca kalabalık dağıldı.",2024-08-28
"Multiple people assaulted and injured as riots caused by a gathering for streamer Kai Cenat’s live giveaway erupt in Union Square Park, NYC",2023-08-04
"ಕೊಳ್ಳೇಗಾಲ MADNESS!! 
MASS RAMPAGE at Srinivasa Theatre.
 : @suniDcult
#Kaatera #Dboss @dasadarshan ",2023-12-28
"Fuller video of what happened earlier today. These aren’t ‘clashes’ @BBCNews - it’s armed thugs attacking a mourning crowd and people carrying a casket. No attacks, nothing thrown. Zero. A wholly peaceful crowd.",2022-05-13
"So this was a targeted attack in which he … did nothing at all, got attacked by the crowd, and fled on foot instead of staying safe in the car and potentially running people over.",2024-05-03
i myself keep repeating that i was way too close and felt bad about it but when i say there was no way out i mean it! do not talk if you were not there it was about 200 people crowd movement even some random ppl got stuck in the crowd! the mobbing followed them until their car,2023-03-31
people were pissed. a crowd of a couple hundreds quickly grew to 2 thousand over the span of a few hours. It was pure chaos and the police had no way of controlling the tension despite their best efforts.,2024-03-05
"Inimitable Aravinda De Silva. India vs Srilanka Semi Finals in 1996 - what a brutal counter attack - kept the 100k crowd silent. Mad Max to Mr.Dependable - I have never missed a single innings. I have watched a series where his average was infinity!!! 

https://youtu.be/7tLCVLBjjcA?si=Uyex33C8EyyEjhwf…",2024-10-16
"-Kanhaiya met Kejriwal, and got some tips
-Planned an attack to get media attention 
-Fixed his men in the crowd and asked them to slap him
-As soon as his men slapped him the crowd got confused, some saw it as an opportunity and they also beat him

Attention ke chakkar me real",2024-05-17
Bhai crowd dekh ke anxiety attack aajata hai.,2024-10-14
"I can see Kamala and Tim going on the stage with a wild roaring crowd cheering them as the Votes comes flooding in on their Win.  Everybody is so happy on the Landslide!!!!!

Meanwhile, Trump suffers a heart attack (from too many Big Macs that night) and he is carried away.",2024-10-13
