Tweet,Date
The community note for Elon's tweet is calling for the execution of Fauci in public. The world's richest man has just bought himself a violent mob to incite violence against whoever he wants. This is absolutely dangerous and reckless.,2022-12-11
For my dearest daughter AVRI’s 7th bday I gave the kids what they want. Which is clearly mob violence.,2021-11-04
"The mob is trying to chip away at your values and right to self-defense, by trying to cancel Jason Aldean. They’re horrified at the fact that Aldean’s anti-crime. They say he’s promoting violence by showing the riots, but I thought they said those same riots were “mostly",2023-07-20
"Even as the Uttar Pradesh police and administration tried to contain communally-targeted mob violence that broke out in Bahraich during Durga idol immersion procession, a Bharatiya Janata Party (BJP) MLA stoked another communal fire on social media as he shared a list of Muslim",2024-10-15
"I would like to thank Hon'ble Union Home Minister and Minister of Cooperation; Shri @AmitShah Ji for sparing 45 mins, today at his residence in New Delhi.
Hon'ble Home Minister patiently listened about the ""Mob Violence"" that has gripped West Bengal and the atrocities committed",2024-07-11
"Trump told his mob of bloodthirsty supporters to ""protest"" his arrest on Truth Social. In actuality, Trump has instructed them to obstruct law enforcement from conducting its job. This is an incitement to violence. It's incriminating. And he should be prosecuted for this as well.",2023-03-18
"While the complaint was under scrutiny, hundreds of men started arson and wreaked havoc in the locality.

The mob then started pelting stones and hurling abuses and offensive slogans. 

Vehicles around were set ablaze by the mobsters.

1 person was killed and 8 others were",2023-05-17
"When right-wing scum tried to kidnap Gretchen Whitmer, Republicans made excuses. 

When a lunatic beat Paul Pelosi with a hammer, they made jokes. 

And when Trump sent a mob to attack the Capitol, they made up lies. 

Don’t lecture us about condemning violence.",2024-07-14
"When right-wing scum tried to kidnap Gretchen Whitmer, Republicans made excuses. 

When a lunatic beat Paul Pelosi with a hammer, they made jokes. 

And when Trump sent a mob to attack the Capitol, they made up lies. 

Don’t lecture us about condemning violence.",2024-09-19
"There were racist mob incidents last night in Hartlepool, Manchester, Aldershot and Whitehall, in each case stoked by online disinformation. History tells us this could escalate so we need: 1/ Swift arrest and sentencing of those inciting and committing violence...",2024-08-01
"HASTA CUANDO @jorgemacri y @WolffWaldo VAN A DEJAR QUE ESTÁ MAFIA SE ADUEÑE DE LAS CALLES DE ONCE! 
Los vecinos perdieron sus veredas, sus
calles sus derechos en manos de Peruanos,senegaleses, bolivianos!
Así son atacados los que reclaman  #Buendomingo",2024-09-22
"After the violent attempted coup, the attempt to hang the vice president, and death, injury, and destruction at the capital, the frenzied mob was dispersed, and under the protection of armed security, power was transferred without further violence. You know, peacefully.",2024-10-15
"Graphic video from Oakland, Calif. at a street occupation on April 30 shows a mob beating a victim on the ground until he is unconscious. The man’s car was hit & he got out of the vehicle before being jumped. The mob then continue performing street stunts",2023-05-02
"Mob of black teens in downtown Miami pummeled a white man on Jan. 1.

The mob threw an object at his car.

He stopped to see the damage and ask who threw the object.

Then he got jumped.

You didn’t hear about this because it didn’t fit the narrative.",2024-03-20
End this trash John story already or cancel it I don’t give a giant crap about it I’m sick of cops and mob violence on GH I want chase get tested for lulu donor has he been tested yet #GH,2024-10-14
A local reporter from Aaj Tak claims he was attacked by the mob during Bahraich Violence. Do listen from 7:00 to 13:30,2024-10-16
Violence Erupts in Bahraich: Internet Suspended as Mob Torches Hospital and Shops During Durga Idol Immersion,2024-10-14
"""The mob doesn't think. It has no mind of its own.""

Mob violence is becoming more and more common. It doesn't take much to convert a democracy to mobocracy. Unfortunately state, law-enforcement and judiciary are standing as mute spectators.",2024-10-14
"Another Big Case of Violence #Chhattisgarh. Policeman’s wife, teen daughter murdered; furious mob beats up SDM, sets ablaze accused house ⁦@SurajpurDist⁩ ⁦@SURAJPUR_POLICE⁩",2024-10-14
"Skullcap clad Mob gathered outside the gates of a society of a woman and caused ruckus, blocked lanes. 

The scared woman asked the police to ensure adequate patrolling of the area. 

Per locals, narcotics and drugs are prevalent in the area.

Mumbai",2024-03-27
"A message from me and 290,000 of my friends to the pro-Hamas mob that chants jihadi death threats and tears down posters of kidnapped children and tramples American flags and resorts to ugly words and uglier violence: 

YOU ARE ON THE WRONG SIDE OF HISTORY.",2023-11-14
"What is happening in this country? In one week-
Politician murdered by contract killers
Hindu boy murdered by extremists
Muslim guy vandalised Durga Ma idol
Durga ma idols burnt by extremists in Bengal
Man murdered by mob in Mumbai in road rage
Suddenly violence has increased.",2024-10-14
"Gang violence in Mitchell's plain, Cape Town...one gang member caught and murdered while SAPS was on scene...",2024-03-17
"Robert De Niro: On January 6, Trump rallied an angry mob to threaten democracy, leaving death and destruction in its wake. That's why I needed to be involved in the Biden-Harris ad. Because it reminds us that Trump will use violence against anyone who stands in the way of his",2024-05-28
"Speaking as an Indonesian, mob violence is part of our culture. It’s a non-carceral way to seek community-centred justice without police involvement, for when someone commits such wrongdoings as selling alcohol, witchcraft, communism or being Chinese.",2024-05-19
"Mob spokesman calling for violence at @CUNY:

""This revolution, which includes the mass demonstrations and encampments, are not just exclusively for students...it is for the free people of the world to resist however you can, whether it be with a rock and other tools of",2024-05-02
"On Thursday, the APCR team held a meeting with the Registrar (Law) of the NHRC to raise concerns regarding the mob violence, arson, looting, and killing of a Muslim man. 

https://maktoobmedia.com/india/rights-group-urges-tripura-cm-nhrc-to-take-action-in-kadamtala-violence-probe-killing-of-muslim-shopkeeper/…",2024-10-12
"Trump, his family and his Republican Party want this kind of mob thug aggression, violence and division to infiltrate every sector of American life. The destruction of every institution and the ongoing proliferation of guns will see to it.",2024-10-14
"A pro-Palestine mob vandalized the outside of the home of the President of a Jewish organization. LAPD is investigating it as a hate crime. 

How did Bret Gustafson, professor at @WUSTL @WUSTLArtSci react? He called it “pretty cool” and encouraged more mob violence.

Imagine",2023-11-28
"This is Sydney University where the mob is instructing little children to chant for Intifada. 

This is indoctrination to violence.",2024-04-27
"There is a clear history of mob violence n lynching in India, reflecting a society with severe paranoia, aggression and casteist-communal divide. 5 Dalits lynched in 2002 Haryana. 

However, neither the Most Powerful 56"" nor his party's anti minority or hateful antics have helped",2024-10-16
"Shocking footage of Starmer being pursued on the Embankment, words have consequences. 

The Prime minister incited mob violence toward the leader of the opposition. Let that sink in.",2022-02-07
As Halloween approaches and ghost tales become popular we need to remember the witch hunts of old and the way that unfounded allegations and accusations lead to mob violence.,2024-10-16
"WOKE CONTENT

Today is the 102nd anniversary of the Tulsa Race Massacre-one of the worst acts of violence in American history. A mob destroyed a thriving Black town and murdered hundreds. 

Never forget. 
#ResistanceRoots
#TulsaMassacre
#KeepItWoke",2023-05-31
"*UP Bahraich Mob violence मार तो दिया तुमने मासूम गोपाल मिश्रा को,*
*कल योगी की पुलिस इनकाउंटर करे तो छाती मत पीटना* 

*हिंदू भाई गोपाल मिश्रा को भावभीनी श्रद्धांजलि।*
",2024-10-14
"January 6th wasn't merely a senseless act of mob violence.

It was a violent attempt to reverse our election.

The root cause: Trump’s Big Lie that continues to make our democracy less safe.

The Senate will move forward to protect our democracy and cure America of the Big Lie.",2022-01-05
"City wide Robbey pattern throughout NYC . 3 unknown individuals chased people down with a gun or knifes demand their victims property. Most of the time the individuals would be driving high priced cars 
#NYC #NEWS #tuesdayvibe",2022-08-24
"43 Shot, 9 Fatally in Memorial Day Weekend Gun Violence Across the City ",2023-05-29
Violence by the militant mob will not be tolerated.,2022-06-25
"FAKE NEWS! Stop Justifying Mob violence! 
Four Hindu students were NOT forced to perform Namaz. Infact the Hindu students didn't perform Namaz. It was the Muslim student who enacted that. The other 4 Hindu students later joined him in singing ""Lab pe aati hai dua""..  These (",2023-10-06
