Tweet,Date
Israeli occupation soldiers brag about raiding a classroom inside a school in #Gaza and vandalizing schoolchildren's belongings.,2023-11-17
"There is much talk about how can IAS officer Pooja Singhal have 20 crores of Cash & so many properties in different Metro Cities! Well, if ED starts Raiding properties of IAS & IPS officers all across the country very Few will turn out to be Honest. Rest are all Super Corrupt.",2022-05-06
"JUST NOW: The FBI is raiding the home of former UN weapons inspector, twice-convicted pedophile, and Russian state-sponsored propagandist Scott Ritter.",2024-08-07
"I appreciate the efforts of those that are raiding my comments with their memes, I see you, I was once clueless like you. 

my hope is that as you raid me, know that I raid you in return, until you see the light and raid for what truly matters. 

",2024-10-17
Raiding The Air Podcast CFB Week 8 Edition https://x.com/i/broadcasts/1ypJdpLvAanJW…,2024-10-17
 IDF forces arrested Hamas leader Hussein Abu Quake after raiding his house in the neighborhood of Umm Al-Shaarit in the town of Al-Bira.,2023-11-15
"RAID VIEWERSHIP NOW COUNTS TOWARDS GETTING PARTNERED ON @Twitch !!!! 

Comment your twitch channel below  if you’re tryna catch a raid! Ill be raiding small streamers after every stream 

Lets help each other out ",2024-10-01
For the month of October I will ONLY be raiding streamers under 100 viewers. If that’s you or your favorite streamer put a link below so I know where to send my little pumpkins,2022-10-01
"By raiding Pres Trump’s home today, the FBI offered clear & convincing evidence that it is weaponized against the American people and self-government. The FBI must be broken into a thousand pieces. Investigated, defunded, abolished, rent asunder. And the GOP must wake up & fight!",2022-08-08
"CHRISTMAS MASSACRE IN NIGERIA:

The death toll is 140 and climbing after a series of coordinated attacks by Jihadist forces in Plateau.

They attacked 20 Christian communities in Central Nigeria, raiding and burning homes while civilians were asleep. 300 are injured and 221 homes",2023-12-26
"This attack on Trump is a judicial assassination and this legal fever is spreading. While the left screams democracy, Democrat lawyers are arresting America's leading presidential candidate, raiding his house, stripping his business license and censoring his speech.",2023-12-21
"I welcome the FBI raiding my house, provided they confiscate everything in my basement. It's a mess down there.",2022-08-10
