Tweet,Date
"British police and a psychologist showed up in a man's home because he had written on social media ""Christians must stand up"" after Islamist attack. They want to silence us.",2024-09-24
"JUST IN: 

A day following Iran’s missile attack, Saudi Arabia’s Foreign Minister met with Iran’s president, stating that Saudi Arabia wants to “permanently close the chapter on our differences.”",2024-10-03
"Wow. A father calls into a radio station to describe the horrific attack his daughter faced by a boy on the school bus. 

SHE was then suspended. 

Watch the administrators do NOTHING to stop him. Every legal action should be pursued against them.",2024-10-12
"How has this been allowed to be broadcast on the BBC?

The BBC should be ashamed of itself for putting text up trying to legitimise the Oct 7 terrorist attack. #DefundTheBBC
Legally cancel your TV licence today at https://defundbbc.uk",2024-10-04
"When right-wing scum tried to kidnap Gretchen Whitmer, Republicans made excuses. 

When a lunatic beat Paul Pelosi with a hammer, they made jokes. 

And when Trump sent a mob to attack the Capitol, they made up lies. 

Don’t lecture us about condemning violence.",2024-09-19
"The Israeli Air Force is on the attack in 4 arenas at the same time within a few hours: in Lebanon, Yemen, Syria and the Gaza Strip.

Long live Israel. ",2024-09-29
I completely condemn Iran's attack on Israel this evening.,2024-10-01
" JUST NOW: Chaos in Haifa, Israel after a MASSIVE Hezbollah missile attack rocked the city.",2024-10-06
"BREAKING:

Israel's army is preparing for a major attack on Iran, and the response will be serious and significant, Israeli media report.",2024-10-05
"Baruch Dayan HaEmet

This was 35 year old Refael Mordechai Fishhof, a father of six, who was stabbed in the terrorist attack in Hadera yesterday. He recently died of his wounds.

May his memory be for a blessing",2024-10-10
"Russian sources say that the long-range Ukrainian drone attack on the Toropets arsenal where tens of thousands of tons of missiles, bombs and artillery shells were stored was the most significant and devastating Ukrainian attack on Russian weapons stockpiles of the whole war. 1/5",2024-09-18
"On October 7, 2023, the terrorist organization Hamas launched a horrifying attack against Israel.

We stand with Jewish people and Israelis on this painful anniversary. We won’t relent until we see every last hostage returned home safely.

My statement.",2024-10-07
"David Lammy has just announced sanctions against Iran  in reply to the ballistic missile attack on 1st October.

That attack caused one fatality- of a Palestinian in Gaza 

History will condemn Starmer and Lammy  as being on the side of a genocidal monster in Netanyahu ",2024-10-14
" Wyoming Wild Fires 

It’s hard not to conclude that America is under attack from within - all these devastating events, one after another simply can’t all be coincidences.",2024-10-09
"GREAT UNBIASED ANALYSIS ON TRUMP VS KAMALA 

Kamala on Fox News: “To be honest with you, she doesn’t have EQ. Emotional intelligence.”

“She look angry, she look mad. She cannot control her emotion.”

“That is not good for leaders.”

Trump on Bloomberg: “They attack him,",2024-10-17
"Today marks one year since Hamas’s horrific terrorist attack against Israel. It’s a chance for us to remember the lives lost and the many lives forever changed by these heinous acts of terror and continue to call for the immediate safe return of the remaining hostages.

Let’s",2024-10-07
"During tonight’s debate, Elizabeth Warren repeatedly lied about my record, throwing out every attack from her national partisan playbook.

I’ll always stand up for hardworking families and those who feel left behind, making sure they have a voice in Washington..

Fight back",2024-10-16
"‘A judge has thrown out charges of attempted murder against the Arizona student who nearly killed a classmate with an unprovoked knife attack in front of horrified students.
Kaci Sloan was facing multiple charges after launching herself at Mara Daffron, 19, as the pair arrived",2024-10-03
"What f*ck is going on? Seriously.

Look at both of these images.

The BBC have just live streamed Ayatollah Khamenei’s propaganda speech for 40 minutes and put on their banner his quotes:

“October 7th was logical and legal”

“Missile Attack on Israel ‘legal and legitimate”",2024-10-04
